STATE,YEAR,Abortion Rate per 1000 People,"Abortion Rate per 100,000 People (Adjusted)(Age:15-19)",Birth Rate per 1000 People,"Birth Rate per 100,000 People (Adjusted)(Age:15-19)",Pregnancy Rate per 1000 People,"Pregnancy Rate per 100,000 People (Adjusted)(Age:15-19)","HIV Rate per 100,000 People","HIV Rate per 100,000 People (Adjusted)(Age:13-24)","STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)(Age:Under 19)"
New Mexico,1993,27.7,-35.8,77.4,2163.676471,123.35,2662.4,,,,
New York,1993,56.525,2846.7,43.35,-1241.323529,114.225,1749.9,,,,
North Carolina,1993,31.6,354.2,67.475,1171.176471,115.65,1892.4,,,,
North Dakota,1993,12.65,-1540.8,35.575,-2018.823529,56.6,-4012.6,,,,
Ohio,1993,20.675,-738.3,56.1,33.67647059,90.025,-670.1,,,,
Oklahoma,1993,14.35,-1370.8,68.125,1236.176471,97.525,79.9,,,,
Oregon,1993,30.525,246.7,52.375,-338.8235294,96.425,-30.1,,,,
Pennsylvania,1993,25.25,-280.8,43.2,-1256.323529,79.625,-1710.1,,,,
Rhode Island,1993,33.525,546.7,44.375,-1138.823529,90.125,-660.1,,,,
South Carolina,1993,21.925,-613.3,67.325,1156.176471,104.975,824.9,,,,
South Dakota,1993,13.65,-1440.8,46.25,-951.3235294,70.5,-2622.6,,,,
Tennessee,1993,22.275,-578.3,69.3,1353.676471,107.625,1089.9,,,,
Texas,1993,24.725,-333.3,76.925,2116.176471,119.525,2279.9,,,,
Utah,1993,8.5,-1955.8,44.575,-1118.823529,62.825,-3390.1,,,,
Vermont,1993,25.075,-298.3,34.075,-2168.823529,68.475,-2825.1,,,,
Virginia,1993,33.65,559.2,50.125,-563.8235294,97.2,47.4,,,,
Washington,1993,38.65,1059.2,49.65,-611.3235294,102.1,537.4,,,,
West Virginia,1993,15.275,-1278.3,54.85,-91.32352941,82.575,-1415.1,,,,
Wisconsin,1993,19.375,-868.3,40.725,-1503.823529,70.15,-2657.6,,,,
Wyoming,1993,18.925,-913.3,48.525,-723.8235294,79.05,-1767.6,,,,
Alabama,1994,23.55,-311,69.55,1543.333333,109.4,1606.2,,,,
Alaska,1994,24.45,-221,58,388.3333333,96.45,311.2,,,,
Arizona,1994,29.05,239,75.85,2173.333333,123,2966.2,,,,
Arkansas,1994,19.6,-706,74.15,2003.333333,110.55,1721.2,,,,
California,1994,54.6,2794,66.9,1278.333333,140.3,4696.2,,,,
Colorado,1994,33.4,674,54.55,43.33333333,102.15,881.2,,,,
Connecticut,1994,40.5,1384,37.8,-1631.666667,89.9,-343.8,,,,
Delaware,1994,33.65,699,56.25,213.3333333,104.45,1111.2,,,,
District of Columbia,1994,,0,92.95,3883.333333,,0,,,,
Florida,1994,41.3,1464,61.2,708.3333333,118.9,2556.2,,,,
Georgia,1994,29.6,294,70.5,1638.333333,117.2,2386.2,,,,
Hawaii,1994,54,2734,51.55,-256.6666667,121.3,2796.2,,,,
Idaho,1994,13,-1366,49.2,-491.6666667,73.4,-1993.8,,,,
Illinois,1994,33.5,684,59.15,503.3333333,107.85,1451.2,,,,
Indiana,1994,20.1,-656,56.8,268.3333333,90.25,-308.8,,,,
Iowa,1994,13.85,-1281,38.95,-1516.666667,61.95,-3138.8,,,,
Kansas,1994,19.2,-746,52.5,-161.6666667,84.15,-918.8,,,,
Kentucky,1994,15.65,-1101,63,888.3333333,92.85,-48.8,,,,
Louisiana,1994,15.3,-1136,71.45,1733.333333,102.6,926.2,,,,
