placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/72037,Ceiba Municipio,2016,12538,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2017,12238,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2018,11853,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2019,11515,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2020,11207,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2011,18912,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2012,18712,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2013,18509,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2014,18242,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2015,17928,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2016,17644,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2017,17325,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2018,16912,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2019,16513,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72039,Ciales Municipio,2020,16188,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2011,43564,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2012,43414,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2013,43238,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2014,42878,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2015,42298,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2016,41782,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2017,41181,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2018,40343,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2019,39607,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72041,Cidra Municipio,2020,38977,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2011,40433,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2012,40577,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2013,40579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2014,40496,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2015,40293,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2016,40090,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2017,39796,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2018,39265,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2019,38906,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72043,Coamo Municipio,2020,38603,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2011,20778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2012,20745,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2013,20676,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2014,20533,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2015,20339,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2016,20153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2017,19914,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2018,19539,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2019,19224,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72045,Comer¨ªo Municipio,2020,18942,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2011,37238,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2012,37074,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2013,36828,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2014,36463,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2015,35975,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2016,35484,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2017,34933,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
